,کهریزک,حرم مطهر امام خمینی,شاهد-باقرشهر,پالایشگاه,شهرري,جوانمرد قصاب,علي آباد,شهید بخارایی,پایانه جنوب,شوش,میدان محمدیه,خيام,پانزده خرداد,امام خميني,سعدي,دروازه دولت,طالقاني,شهدای هفتم تير,شهيد مفتح,شهيد بهشتي,مصلي امام خمینی,شهید همت,شهید حقانی,ميرداماد,دکتر شريعتي,قلهك,شهيد صدر,قیطریه,تجریش,صادقیه,طرشت,دانشگاه شريف,شادمان,شهید نواب صفوي,ميدان حر,دانشگاه امام علي,حسن آباد,ملت,بهارستان,دروازه شمیران,امام حسين,شهيد مدني,سبلان,فدك,جانبازان,سرسبز,دانشگاه علم و صنعت,شهید باقري,تهرانپارس,فرهنگسرا,آزادگان,نعمت آباد,عبدل آباد,شهرک شریعتی,زمزم,جوادیه,راه آهن,مهدیه,منیریه,تئاتر شهر,میدان ولیعصر,میدان جهاد,میرزای شیرازی,سهروردی,شهید قدوسی,شهید صیاد شیرازی,خواجه عبدالله انصاری,شهید زین الدین,هروی,حسین آباد,نوبنیاد,اقدسیه,شهید محلاتی,قائم,ارم سبز,شهرک اکباتان,بیمه,ميدان آزادي,استاد معین,دكتر حبيب اله,توحيد,ميدان انقلاب اسلامی,فردوسی,میدان شهدا,ابن سینا,پیروزی,نبرد,نیروی هوایی,شهید کلاهدوز,گلشهر,محمد شهر,کرج,البرز,گرم دره,وردآورد,ايران خودرو,چيتگر,ورزشگاه آزادی,حرم عبالعظیم,میدان حرم عبدالعظیم,ابن بابویه,چشمه علی,دولت آباد,کیانشهر,بعثت,شهید رضایی,میدان خراسان,هفده شهریور,امیرکبیر,سرباز,بهار شیراز,استاد نجات الهی,پارک لاله,کارگر,تربیت مدرس,شهرک آزمایش,مرزداران,یادگار امام,اشرفی اصفهانی,شهید ستاری,دویست دستگاه,میدان کانون,شهران,آبشناسان,شهدای کن,ورزشگاه تختی,بسیج,آهنگ,میدان شهید محلاتی,میدان قیام,مولوی,هلال احمر,بریانک,کمیل,رودکی,باقرخان,بوستان گفتگو,برج میلاد تهران,میدان صنعت,شهید دادمان,میدان کتاب
ميرداماد,,,,,,,,,,,,,,,,,,,,,,,852.1725117094921,,965.9211102098849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
دکتر شريعتي,,,,,,,,,,,,,,,,,,,,,,,,965.9211102098849,,1295.2571664780237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
قلهك,,,,,,,,,,,,,,,,,,,,,,,,,1295.2571664780237,,1319.5052521041935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شهيد صدر,,,,,,,,,,,,,,,,,,,,,,,,,,1319.5052521041935,,866.5610654249055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
قیطریه,,,,,,,,,,,,,,,,,,,,,,,,,,,866.5610654249055,,1087.4691224763799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
تجریش,,,,,,,,,,,,,,,,,,,,,,,,,,,,1087.4691224763799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
صادقیه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1285.0738455048463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2190.7508599961316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
طرشت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1285.0738455048463,,1414.5292213890823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
دانشگاه شريف,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1414.5292213890823,,1076.7276403625124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شادمان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1076.7276403625124,,1517.4841269074143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727.8078416688849,1349.4383432552602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
